ID;CODE_GENDER;FLAG_OW0_CAR;FLAG_OW0_REALT1;CNT_CHILDREN;AMT_INCOME_TOTAL;NAME_EDUCATION_TYPE;NAME_FAMILY_STATUS;NAME_HOUSING_TYPE;DAYS_BIRTH;DAYS_EMPLOYED;FLAG_MOBIL;FLAG_WORK_PHONE;FLAG_PHONE;FLAG_EMAIL;JOB;BEGIN_MONTHS;STATUS;TARGET
103;1;0;1;0;1;1;2;1;45;1;1;0;0;0;2;38;2;0
326;0;1;1;0;1;1;1;1;47;3;1;0;0;0;4;44;2;0
381;1;1;1;1;1;4;1;0;30;6;1;0;0;0;8;9;2;0
530;1;0;1;0;1;1;1;1;39;9;1;0;0;0;3;16;5;0
765;1;1;1;0;1;1;1;1;51;2;1;1;1;0;15;35;5;0
1073;0;1;0;0;1;1;0;1;47;7;1;0;0;0;0;7;3;0
1141;1;0;0;0;1;1;4;4;54;1;1;0;0;0;3;34;5;0
1151;1;1;0;0;1;1;3;1;48;28;1;1;1;0;10;22;2;0
1392;1;1;1;0;1;1;1;1;51;2;1;1;1;0;15;10;5;0
1530;0;1;1;0;2;4;1;1;51;3;1;0;0;0;0;27;5;0
1536;0;0;1;0;1;1;1;1;46;0;1;0;0;0;2;30;4;0
1745;0;1;1;0;1;1;1;1;52;3;1;0;1;0;2;10;5;0
1852;0;1;1;2;2;4;1;1;48;11;1;1;1;0;0;49;2;0
2030;0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;22;5;0
2389;0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;4;5;0
2497;1;0;0;0;1;4;0;1;29;6;1;0;0;0;2;0;5;0
2540;1;0;1;1;1;3;1;3;29;0;1;1;1;0;3;13;4;0
3244;0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;28;5;0
4018;0;0;1;0;1;1;1;1;46;0;1;0;0;0;2;35;2;0
4309;0;1;0;1;2;1;1;1;40;3;1;0;1;0;0;0;5;0
4522;0;1;1;0;1;1;1;1;29;0;1;0;0;0;2;9;3;0
4590;0;1;1;1;1;4;1;1;51;17;1;0;0;0;0;9;2;0
4967;0;1;0;1;2;4;1;1;26;1;1;0;1;1;3;24;5;0
5294;0;1;1;0;1;4;1;1;34;14;1;0;0;1;2;11;5;0
6996;0;0;1;2;1;1;1;1;34;4;1;0;0;0;3;38;2;0
7068;1;1;0;1;1;1;1;1;43;1;1;1;0;0;9;7;3;0
7519;1;0;0;0;1;4;0;1;29;6;1;0;0;0;2;6;2;0
7526;0;1;1;0;2;1;0;0;26;7;1;0;1;0;2;3;2;0
7617;1;0;0;2;1;1;1;1;39;13;1;0;0;0;5;20;5;0
7621;1;1;1;0;1;0;1;1;44;1;1;0;1;0;5;3;5;0
7884;0;0;1;0;2;4;0;1;28;1;1;0;0;1;2;26;4;0
7975;0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;6;5;0
8022;0;1;1;0;2;1;2;1;54;3;1;0;0;0;0;25;2;0
8084;0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;30;5;0
8261;1;0;1;1;1;1;0;1;42;6;1;0;1;0;12;33;5;0
8666;1;0;1;1;1;1;1;1;51;11;1;0;0;0;8;26;3;0
9136;0;1;1;0;1;4;0;1;39;2;1;1;0;0;0;5;5;0
10175;1;1;0;0;2;4;1;1;54;15;1;1;1;0;0;34;2;0
10360;0;0;1;0;1;1;1;1;48;3;1;0;0;0;2;1;5;0
10523;0;0;1;0;1;1;0;1;46;0;1;0;0;0;2;23;5;0
10606;0;1;1;2;3;4;1;1;27;2;1;0;0;0;0;44;2;0
10647;0;1;1;1;1;1;1;1;44;2;1;1;1;0;4;20;5;0
11499;0;1;0;0;2;4;0;1;38;10;1;1;1;0;2;13;2;0
11541;1;1;0;1;1;1;1;1;43;1;1;1;0;0;9;8;2;0
12098;1;0;1;1;1;1;1;1;35;10;1;1;1;0;2;29;5;0
12262;1;1;0;0;1;4;1;1;55;6;1;1;1;0;8;14;5;0
12396;1;0;1;1;1;1;0;1;42;6;1;0;1;0;12;13;5;0
12439;0;1;0;0;1;1;1;5;47;2;1;0;0;0;16;12;4;0
12444;1;1;0;0;1;1;3;1;48;28;1;1;1;0;10;13;5;0
14308;1;0;1;2;2;1;1;1;33;1;1;0;0;0;3;24;2;0
14994;0;1;1;1;1;1;1;1;44;2;1;1;1;0;4;4;5;0
15825;1;0;1;1;1;1;1;1;35;10;1;1;1;0;2;28;5;0
15966;0;1;1;0;2;4;1;1;57;2;1;0;0;0;4;1;5;0
16103;0;0;0;0;1;1;0;0;27;0;1;1;0;0;4;37;2;0
16866;1;0;1;0;1;4;3;1;51;1;1;0;1;0;3;49;4;0
16908;0;1;1;0;2;4;1;1;51;3;1;0;0;0;0;24;5;0
17264;0;1;0;0;1;1;1;0;37;3;1;0;0;0;2;2;5;0
17275;0;0;0;0;1;1;0;0;27;0;1;1;0;0;4;8;4;0
17598;1;1;0;0;1;4;1;1;36;5;1;0;0;0;5;50;2;0
17731;0;1;1;1;1;1;1;1;30;1;1;1;0;0;4;8;2;0
18261;0;1;1;0;1;4;0;1;39;2;1;1;0;0;0;18;4;0
18454;0;0;0;0;1;1;0;0;27;0;1;1;0;0;4;0;4;0
19434;0;1;1;0;1;1;2;1;32;4;1;0;0;1;2;45;2;0
20327;0;1;0;2;1;1;1;1;40;6;1;0;0;0;4;2;2;0
20397;1;1;1;0;1;4;1;1;44;22;1;0;0;0;0;15;5;0
20413;0;1;1;0;1;1;1;1;47;1;1;0;0;1;4;18;2;0
20627;1;0;1;0;1;4;0;1;51;6;1;0;0;0;9;9;5;0
20725;0;1;0;1;1;1;0;1;35;4;1;0;1;0;2;0;4;0
21402;0;1;0;0;1;1;0;1;44;1;1;0;0;0;2;16;5;0
21511;1;1;1;0;1;1;1;1;51;2;1;1;1;0;15;19;4;0
21636;0;1;1;0;1;1;0;1;27;0;1;0;0;1;0;38;5;0
21823;0;1;0;0;1;1;1;0;37;3;1;0;0;0;2;5;5;0
21937;1;0;0;0;1;1;0;1;51;10;1;0;0;0;2;4;5;0
22252;1;0;1;0;1;4;0;3;29;5;1;0;0;0;3;24;5;0
22253;0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;28;5;0
22393;0;0;0;0;2;1;0;3;25;1;1;0;0;0;9;26;4;0
22493;0;0;1;0;1;1;1;1;46;0;1;0;0;0;2;23;5;0
23124;1;1;1;0;1;4;1;1;30;4;1;1;0;0;8;54;3;0
23274;1;0;1;1;1;4;1;1;42;11;1;0;0;0;3;14;5;0
23728;0;0;0;0;1;1;2;0;41;4;1;0;0;0;2;0;2;0
23781;0;1;0;2;1;1;1;1;35;11;1;0;0;0;2;34;2;0
23789;0;0;0;1;1;1;1;1;27;1;1;1;0;0;0;4;2;0
24002;0;1;0;1;2;1;1;1;40;3;1;0;1;0;0;3;5;0
24101;1;1;0;2;1;3;1;1;26;2;1;1;1;0;3;10;2;0
24272;0;1;0;2;2;1;1;1;42;7;1;0;1;0;2;5;2;0
25475;0;1;0;0;1;1;1;0;37;3;1;0;0;0;2;20;5;0
25903;1;1;0;2;1;3;1;1;26;2;1;1;1;0;3;9;3;0
25962;1;1;1;0;1;4;1;1;30;4;1;1;0;0;8;51;2;0
26309;0;1;0;1;2;4;1;1;26;1;1;0;1;1;3;22;5;0
26313;1;1;0;1;1;4;1;2;26;7;1;0;0;0;2;32;5;0
26576;0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;33;5;0
26583;0;1;1;2;1;1;1;1;47;1;1;0;0;0;2;20;5;0
26592;1;0;1;1;1;1;1;1;35;10;1;1;1;0;2;6;5;0
27261;1;0;1;1;1;1;0;1;42;6;1;0;1;0;12;31;5;0
27461;1;0;1;1;1;1;1;1;34;3;1;1;1;0;9;40;3;0
27503;1;1;0;1;1;1;3;1;32;4;1;0;0;1;3;37;3;0
27512;0;1;0;0;1;1;1;5;47;2;1;0;0;0;16;40;5;0
27535;1;0;1;2;1;4;1;1;37;15;1;0;1;0;3;10;5;0
27871;1;1;0;2;1;3;1;1;26;2;1;1;1;0;3;6;2;0
28262;0;1;1;1;1;4;1;1;24;0;1;0;0;1;3;18;2;0
28301;0;1;1;0;1;1;1;1;51;2;1;1;1;0;2;55;3;0
28512;1;1;1;2;1;4;1;1;34;13;1;0;0;0;3;31;2;0
28686;1;1;1;0;1;4;1;1;47;8;1;0;1;0;3;44;2;0
28708;0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;20;5;0
28739;1;0;1;1;1;1;1;1;29;5;1;1;1;0;9;13;2;0
28897;1;0;1;0;1;4;1;1;28;2;1;0;1;0;5;27;3;0
29142;0;1;0;0;1;1;1;0;37;3;1;0;0;0;2;11;5;0
29611;0;1;1;1;2;1;0;1;49;1;1;0;1;1;3;1;5;0
29636;0;1;1;0;2;4;1;1;51;3;1;0;0;0;0;19;5;0
29980;1;0;1;1;1;1;1;1;35;10;1;1;1;0;2;45;3;0
30545;1;0;0;1;1;4;1;1;31;10;1;0;0;0;2;40;2;0
30827;1;1;1;0;1;1;1;1;51;2;1;1;1;0;15;16;5;0
