CODE_GENDER;FLAG_OW0_CAR;FLAG_OW0_REALT1;CNT_CHILDREN;AMT_INCOME_TOTAL;NAME_EDUCATION_TYPE;NAME_FAMILY_STATUS;NAME_HOUSING_TYPE;DAYS_BIRTH;DAYS_EMPLOYED;FLAG_MOBIL;FLAG_WORK_PHONE;FLAG_PHONE;FLAG_EMAIL;JOB;TARGET
1;0;1;0;1;1;2;1;45;1;1;0;0;0;2;0
0;1;1;0;1;1;1;1;47;3;1;0;0;0;4;0
1;1;1;1;1;4;1;0;30;6;1;0;0;0;8;0
1;0;1;0;1;1;1;1;39;9;1;0;0;0;3;0
1;1;1;0;1;1;1;1;51;2;1;1;1;0;15;0
0;1;0;0;1;1;0;1;47;7;1;0;0;0;0;0
1;0;0;0;1;1;4;4;54;1;1;0;0;0;3;0
1;1;0;0;1;1;3;1;48;28;1;1;1;0;10;0
1;1;1;0;1;1;1;1;51;2;1;1;1;0;15;0
0;1;1;0;2;4;1;1;51;3;1;0;0;0;0;0
0;0;1;0;1;1;1;1;46;0;1;0;0;0;2;0
0;1;1;0;1;1;1;1;52;3;1;0;1;0;2;0
0;1;1;2;2;4;1;1;48;11;1;1;1;0;0;0
0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;0
0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;0
1;0;0;0;1;4;0;1;29;6;1;0;0;0;2;0
1;0;1;1;1;3;1;3;29;0;1;1;1;0;3;0
0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;0
0;0;1;0;1;1;1;1;46;0;1;0;0;0;2;0
0;1;0;1;2;1;1;1;40;3;1;0;1;0;0;0
0;1;1;0;1;1;1;1;29;0;1;0;0;0;2;0
0;1;1;1;1;4;1;1;51;17;1;0;0;0;0;0
0;1;0;1;2;4;1;1;26;1;1;0;1;1;3;0
0;1;1;0;1;4;1;1;34;14;1;0;0;1;2;0
0;0;1;2;1;1;1;1;34;4;1;0;0;0;3;0
1;1;0;1;1;1;1;1;43;1;1;1;0;0;9;0
1;0;0;0;1;4;0;1;29;6;1;0;0;0;2;0
0;1;1;0;2;1;0;0;26;7;1;0;1;0;2;0
1;0;0;2;1;1;1;1;39;13;1;0;0;0;5;0
1;1;1;0;1;0;1;1;44;1;1;0;1;0;5;0
0;0;1;0;2;4;0;1;28;1;1;0;0;1;2;0
0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;0
0;1;1;0;2;1;2;1;54;3;1;0;0;0;0;0
0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;0
1;0;1;1;1;1;0;1;42;6;1;0;1;0;12;0
1;0;1;1;1;1;1;1;51;11;1;0;0;0;8;0
0;1;1;0;1;4;0;1;39;2;1;1;0;0;0;0
1;1;0;0;2;4;1;1;54;15;1;1;1;0;0;0
0;0;1;0;1;1;1;1;48;3;1;0;0;0;2;0
0;0;1;0;1;1;0;1;46;0;1;0;0;0;2;0
0;1;1;2;3;4;1;1;27;2;1;0;0;0;0;0
0;1;1;1;1;1;1;1;44;2;1;1;1;0;4;0
0;1;0;0;2;4;0;1;38;10;1;1;1;0;2;0
1;1;0;1;1;1;1;1;43;1;1;1;0;0;9;0
1;0;1;1;1;1;1;1;35;10;1;1;1;0;2;0
1;1;0;0;1;4;1;1;55;6;1;1;1;0;8;0
1;0;1;1;1;1;0;1;42;6;1;0;1;0;12;0
0;1;0;0;1;1;1;5;47;2;1;0;0;0;16;0
1;1;0;0;1;1;3;1;48;28;1;1;1;0;10;0
1;0;1;2;2;1;1;1;33;1;1;0;0;0;3;0
0;1;1;1;1;1;1;1;44;2;1;1;1;0;4;0
1;0;1;1;1;1;1;1;35;10;1;1;1;0;2;0
0;1;1;0;2;4;1;1;57;2;1;0;0;0;4;0
0;0;0;0;1;1;0;0;27;0;1;1;0;0;4;0
1;0;1;0;1;4;3;1;51;1;1;0;1;0;3;0
0;1;1;0;2;4;1;1;51;3;1;0;0;0;0;0
0;1;0;0;1;1;1;0;37;3;1;0;0;0;2;0
0;0;0;0;1;1;0;0;27;0;1;1;0;0;4;0
